# 井號開頭的是註解列,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# 空白列也會被忽略,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# 第一列非空白列是欄位名稱， 一律只能有英文或數字底線， 用逗點分開。,,,,,,,,,,,,,,,,,
# 裡面至少要有 lon (經度) 及 lat (緯度) 兩欄。,,,,,,,,,,,,,,,,,
# 另外， 若有 name 欄位， 可能有利於後續顯示。,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# 詳見 http://newtoypia.blogspot.tw/2015/07/csv-geojson.html,,,,,,,,,,,,,,,,,
# 「csv 轉 geojson ： 大批地址匯入你的私房地圖」,,,,,,,,,,,,,,,,,
name,,,,,,,,,,,,,,,,,
台中公益服務中心,地圖,   可預約取號    可預約取貨  ,台中市西區精誠路105-8號,電話 ,123或0800-080123,服務時間 ,週一至週日11:00~21:00，全年無休,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,,,,,,,,
豐原中山服務中心,地圖,   可預約取號    可預約取貨  ,台中市豐原區中山路412號,電話 ,123或0800-080123,服務時間 ,週一至週日11:00~21:00，全年無休,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,,,,,,,,
豐原服務中心,地圖,   可預約取號    可預約取貨  ,台中市豐原區豐西街21號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:00~19:00,週六：8:30~12:30,備註 ,提供iPhone及iPad銷售,設有無障礙坡道,每月第二、四週週三下午15:30~16:30舉辦門市小學堂，提供智慧型手機功能、寬頻與MOD...等操作課程,,,,,
東勢服務中心,地圖,   可預約取號    可預約取貨  ,台中市東勢區本街244號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:30~17:30,備註 ,設有無障礙坡道,不提供iPhone、iPad銷售,,,,,,,
大甲服務中心,地圖,   可預約取號    可預約取貨  ,台中市大甲區順天路159號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:30~18:00,週六：8:30~12:30,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,設有無障礙坡道,每月第二、四週週三下午15:30~16:30舉辦門市小學堂，提供智慧型手機功能、寬頻與MOD...等操作課程,,,,,
日南服務中心,地圖,,台中市大甲區中山路二段183號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:30~17:30,備註 ,設有無障礙坡道,不提供iPhone、iPad銷售,,,,,,,
清水服務中心,地圖,   可預約取號    可預約取貨  ,台中市清水區中山路79號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:30~18:00,週六：8:30~12:30,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,設有無障礙坡道,每月第二、四週週三下午15:30~16:30舉辦門市小學堂，提供智慧型手機功能、寬頻與MOD...等操作課程,,,,,
沙鹿中山服務中心,地圖,   可預約取號    可預約取貨  ,台中市沙鹿區中山路205號,電話 ,123或0800-080123,服務時間 ,週一至週日11:00~21:00，全年無休,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,進出平坦無礙,,,,,,,
沙鹿服務中心,地圖,   可預約取號    可預約取貨  ,台中市沙鹿區成功東街94號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:30~18:00,週六：8:30~12:30,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,設有無障礙坡道,每月第二、四週週三下午15:30~16:30舉辦門市小學堂，提供智慧型手機功能、寬頻與MOD...等操作課程,,,,,
台中機場服務中心(台中航空站內),地圖,,臺中市沙鹿區中航路1段168號,電話 ,123或0800-080123,服務時間 ,週一至週日10:00~22:00（全年無休）,備註 ,無提供手機銷售及維修服務,進出平坦無礙,不提供iPhone、iPad銷售,,,,,,
梧棲服務中心,地圖,   可預約取號    可預約取貨  ,台中市梧棲區大智路二段197號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:30~17:30,備註 ,設有無障礙坡道,不提供iPhone、iPad銷售,,,,,,,
后里服務中心,地圖,   可預約取號    可預約取貨  ,台中市后里區甲后路一段641號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:30~17:30,備註 ,進出平坦無礙,不提供iPhone、iPad銷售,,,,,,,
民興服務中心,地圖,   可預約取號    可預約取貨  ,台中市大雅區民興街59號,電話 ,123或0800-080123,服務時間 ,週一至週五：11:00~21:00,週六：11:00~21:00,週日：11:00~21:00,備註 ,(全年無休),提供iPhone及iPad(未含12.9吋iPad Pro)銷售,,,,,
大雅服務中心,地圖,   可預約取號    可預約取貨  ,台中市大雅區神林南路182號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:30~17:30,備註 ,設有無障礙坡道,不提供iPhone、iPad銷售,,,,,,,
潭子服務中心,地圖,   可預約取號    可預約取貨  ,台中市潭子區潭興路三段40號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:30~17:30,週六：8:30~12:30,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,設有無障礙坡道,每月第二、四週週三下午15:30~16:30舉辦門市小學堂，提供智慧型手機功能、寬頻與MOD...等操作課程,,,,,
明道服務中心,地圖,   可預約取號    可預約取貨  ,台中市烏日區中山路一段402號,電話 ,123或0800-080123,服務時間 ,週一至週五：11:00~21:00,週六：11:00~21:00,週日：11:00~21:00,備註 ,(全年無休),提供iPhone及iPad(未含12.9吋iPad Pro)銷售,進出平坦無礙,,,,
烏日服務中心,地圖,   可預約取號    可預約取貨  ,台中市烏日區三民街212號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:30~17:30,備註 ,設有無障礙坡道,105.9.16起提供iPhone及iPad(未含12.9吋iPad Pro)銷售,,,,,,,
大肚服務中心,地圖,   可預約取號    可預約取貨  ,台中市大肚區榮華街3號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:30~17:30,備註 ,進出平坦無礙,不提供iPhone、iPad銷售,,,,,,,
國際服務中心,地圖,   可預約取號    可預約取貨  ,台中市龍井區國際街126號,電話 ,123或0800-080123,服務時間 ,週一至週五：11:00~21:00,週六：11:00~21:00,週日：11:00~21:00,備註 ,全年無休,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,進出平坦無礙,,,,
霧峰服務中心,地圖,   可預約取號    可預約取貨  ,台中市霧峰區中正路933號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:30~18:30、週六09:00～13:00,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,設有無障礙坡道,,,,,,,
太平服務中心,地圖,   可預約取號    可預約取貨  ,台中市太平區樹孝路25號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:30~18:30,週六：10:00~14:00,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,設有無障礙坡道,,,,,,
永豐服務中心,地圖,   可預約取號    可預約取貨  ,台中市太平區太平路577號,電話 ,123或0800-080123,服務時間 ,週一至週五：11:00~21:00,週六：11:00~21:00,週日：11:00~21:00,備註 ,(全年無休),提供iPhone及iPad(未含12.9吋iPad Pro)銷售,進出平坦無礙,,,,
國光服務中心,地圖,   可預約取號    可預約取貨  ,台中市大里區國光路二段735號,電話 ,123或0800-080123,服務時間 ,週一至週五：11:00~21:00,週六：11:00~21:00,週日：11:00~21:00,備註 ,(全年無休),提供iPhone及iPad(未含12.9吋iPad Pro)銷售,,,,,
立仁服務中心,地圖,   可預約取號    可預約取貨  ,台中市大里區立仁路172號,電話 ,123或0800-080123,服務時間 ,週一至週日11:00~21:00，全年無休,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,設有無障礙坡道,,,,,,,
塗城服務中心,地圖,   可預約取號    可預約取貨  ,台中市大里區成功路463號,電話 ,123,服務時間 ,週一至週日11:00 ~ 21:00,備註 ,全年無休,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,進出平坦無礙,,,,,,
大里服務中心,地圖,   可預約取號    可預約取貨  ,台中市大里區大智路727號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:30~17:30,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,設有無障礙坡道,每月第二、四週週三下午15:30~16:30舉辦門市小學堂，提供智慧型手機功能、寬頻與MOD...等操作課程,,,,,,
梨山服務中心,地圖,,台中市和平區中正路90號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:00~12:00；13:00~17:00,備註 ,設有無障礙坡道,不提供iPhone、iPad銷售 ,,,,,,,
